Weight	Nested	Procedure	subjectID	event_code	block_nr	block_reliability	trial_nr	trial_difficulty	trial_cue	color_1	color_2	flip_response
1		gridBlockStartProc	49	1	1	reliable	0			0	0	
1		gridTrialProc	49	3	1	reliable	0	hard	O	0.5524308657030551	0.4475691342969449	no
1		gridTrialProc	49	3	1	reliable	1	easy	X	0.7420637547203828	0.2579362452796173	no
1		gridTrialProc	49	3	1	reliable	2	easy	X	0.6654038822372035	0.33459611776279646	no
1		gridTrialProc	49	3	1	reliable	3	hard	O	0.6297955716457363	0.3702044283542637	no
1		gridTrialProc	49	3	1	reliable	4	hard	O	0.4769784171881668	0.5230215828118332	no
1		gridTrialProc	49	3	1	reliable	5	hard	O	0.44648162209762277	0.5535183779023772	no
1		gridTrialProc	49	3	1	reliable	6	easy	X	0.7520683064478366	0.24793169355216332	no
1		gridTrialProc	49	3	1	reliable	7	easy	X	0.2847264348773896	0.7152735651226104	no
1		gridTrialProc	49	3	1	reliable	8	hard	O	0.38025269078509877	0.6197473092149013	no
1		gridTrialProc	49	3	1	reliable	9	easy	X	0.2885081115851601	0.7114918884148399	no
1		gridTrialProc	49	3	1	reliable	10	easy	X	0.6690447706992824	0.33095522930071763	no
1		gridTrialProc	49	3	1	reliable	11	hard	O	0.5968724622144819	0.4031275377855182	no
1		gridTrialProc	49	3	1	reliable	12	hard	O	0.5317612683577224	0.4682387316422776	no
1		gridTrialProc	49	3	1	reliable	13	hard	O	0.34118351240604944	0.6588164875939506	no
1		gridTrialProc	49	3	1	reliable	14	easy	X	0.6588572850677252	0.3411427149322747	no
1		gridTrialProc	49	3	1	reliable	15	hard	O	0.40619949675751127	0.5938005032424887	no
1		gridTrialProc	49	3	1	reliable	16	easy	X	0.7013682843940656	0.2986317156059343	no
1		gridTrialProc	49	3	1	reliable	17	easy	X	0.3943736029228665	0.6056263970771335	no
1		gridTrialProc	49	3	1	reliable	18	easy	X	0.30817183220140915	0.6918281677985909	no
1		gridTrialProc	49	3	1	reliable	19	hard	O	0.5056812905550653	0.4943187094449347	no
1		gridTrialProc	49	3	1	reliable	20	easy	X	0.7170699672018	0.28293003279819995	no
1		gridTrialProc	49	3	1	reliable	21	easy	X	0.7414998752819099	0.25850012471809014	no
1		gridTrialProc	49	3	1	reliable	22	easy	X	0.6789716395871865	0.3210283604128134	no
1		gridTrialProc	49	3	1	reliable	23	hard	O	0.5192898068322869	0.4807101931677132	no
1		gridTrialProc	49	3	1	reliable	24	hard	O	0.5630308467048233	0.43696915329517666	no
1		gridTrialProc	49	3	1	reliable	25	hard	O	0.46991501947019937	0.5300849805298007	no
1		gridTrialProc	49	3	1	reliable	26	easy	X	0.34151741055675217	0.6584825894432478	no
1		gridTrialProc	49	3	1	reliable	27	hard	O	0.5757737856673845	0.42422621433261554	no
1		gridTrialProc	49	3	1	reliable	28	hard	O	0.6698751887119963	0.33012481128800375	no
1		gridTrialProc	49	3	1	reliable	29	easy	X	0.3126427626016054	0.6873572373983946	no
1		gridTrialProc	49	3	1	reliable	30	hard	O	0.4566779401649012	0.5433220598350987	no
1		gridTrialProc	49	3	1	reliable	31	hard	O	0.43854939264209547	0.5614506073579045	no
1		gridTrialProc	49	3	1	reliable	32	easy	X	0.6703796105875883	0.32962038941241173	no
1		gridTrialProc	49	3	1	reliable	33	hard	O	0.4796128528463406	0.5203871471536594	no
1		gridTrialProc	49	3	1	reliable	34	easy	X	0.39491005659050965	0.6050899434094903	no
1		gridTrialProc	49	3	1	reliable	35	hard	O	0.4613999159224282	0.5386000840775718	no
1		gridTrialProc	49	3	1	reliable	36	easy	X	0.2685013847500002	0.7314986152499998	no
1		gridTrialProc	49	3	1	reliable	37	easy	X	0.7366386236796335	0.2633613763203665	no
1		gridTrialProc	49	3	1	reliable	38	hard	O	0.5405309879198412	0.4594690120801588	no
1		gridTrialProc	49	3	1	reliable	39	easy	X	0.6156299907614864	0.38437000923851367	no
1		gridTrialProc	49	3	1	reliable	40	easy	X	0.32467671332147746	0.6753232866785226	no
1		gridTrialProc	49	3	1	reliable	41	easy	X	0.7209727530176304	0.27902724698236964	no
1		gridTrialProc	49	3	1	reliable	42	hard	O	0.45012221655156465	0.5498777834484354	no
1		gridTrialProc	49	3	1	reliable	43	hard	O	0.5794613836363196	0.42053861636368045	no
1		gridTrialProc	49	3	1	reliable	44	hard	O	0.44402227683046486	0.5559777231695351	no
1		gridTrialProc	49	3	1	reliable	45	easy	X	0.6655019490872297	0.3344980509127703	no
1		gridTrialProc	49	3	1	reliable	46	hard	O	0.3917377945750434	0.6082622054249567	no
1		gridTrialProc	49	3	1	reliable	47	hard	O	0.49768796051507047	0.5023120394849295	no
1		gridTrialProc	49	3	1	reliable	48	hard	O	0.4307654695125521	0.5692345304874479	no
1		gridTrialProc	49	3	1	reliable	49	easy	X	0.6475545197207054	0.35244548027929457	no
1		gridTrialProc	49	3	1	reliable	50	easy	X	0.3572693434301801	0.6427306565698199	no
1		gridTrialProc	49	3	1	reliable	51	hard	O	0.5500830328191791	0.44991696718082086	no
1		gridTrialProc	49	3	1	reliable	52	easy	X	0.34358550008262	0.65641449991738	no
1		gridTrialProc	49	3	1	reliable	53	easy	X	0.7236528484515448	0.2763471515484552	no
1		gridTrialProc	49	3	1	reliable	54	easy	X	0.2437705557868296	0.7562294442131704	no
1		gridTrialProc	49	3	1	reliable	55	easy	X	0.2557835050304178	0.7442164949695822	no
1		gridTrialProc	49	3	1	reliable	56	hard	O	0.5817358921367536	0.4182641078632464	no
1		gridTrialProc	49	3	1	reliable	57	hard	O	0.3893009565033688	0.6106990434966312	no
1		gridTrialProc	49	3	1	reliable	58	hard	O	0.4960031174160715	0.5039968825839285	no
1		gridTrialProc	49	3	1	reliable	59	hard	O	0.43200907631372043	0.5679909236862796	no
1		gridTrialProc	49	3	1	reliable	60	easy	X	0.31494040834153103	0.685059591658469	no
1		gridTrialProc	49	3	1	reliable	61	hard	O	0.5411451969629513	0.4588548030370487	no
1		gridTrialProc	49	3	1	reliable	62	hard	O	0.4732988431606654	0.5267011568393346	no
1		gridTrialProc	49	3	1	reliable	63	easy	X	0.6951780885526447	0.30482191144735526	no
1		gridTrialProc	49	3	1	reliable	64	easy	X	0.2732234389369317	0.7267765610630683	no
1		gridTrialProc	49	3	1	reliable	65	easy	X	0.6243515383557723	0.3756484616442277	no
1		gridTrialProc	49	3	1	reliable	66	hard	O	0.5383934676750902	0.4616065323249098	no
1		gridTrialProc	49	3	1	reliable	67	easy	X	0.7417084865602753	0.2582915134397247	no
1		gridTrialProc	49	3	1	reliable	68	hard	O	0.5617417770395291	0.4382582229604709	no
1		gridTrialProc	49	3	1	reliable	69	hard	O	0.5726780226087287	0.42732197739127126	no
1		gridTrialProc	49	3	1	reliable	70	hard	O	0.5462110253724157	0.4537889746275843	no
1		gridTrialProc	49	3	1	reliable	71	hard	O	0.49706598364220145	0.5029340163577986	no
1		gridTrialProc	49	3	1	reliable	72	easy	X	0.2643306407492963	0.7356693592507038	no
1		gridTrialProc	49	3	1	reliable	73	easy	X	0.28214901508992757	0.7178509849100725	no
1		gridTrialProc	49	3	1	reliable	74	easy	X	0.6270293469488181	0.37297065305118193	no
1		gridTrialProc	49	3	1	reliable	75	easy	X	0.6939335087483092	0.3060664912516909	no
1		gridTrialProc	49	3	1	reliable	76	hard	O	0.5760798459700742	0.42392015402992583	no
1		gridTrialProc	49	3	1	reliable	77	easy	X	0.7435273885986107	0.2564726114013894	no
1		gridTrialProc	49	3	1	reliable	78	easy	X	0.1289442168974231	0.8710557831025769	no
1		gridTrialProc	49	3	1	reliable	79	easy	X	0.4025077403906941	0.597492259609306	no
1		gridTrialProc	49	3	1	reliable	80	easy	X	0.6927342565854455	0.3072657434145544	no
1		gridTrialProc	49	3	1	reliable	81	easy	X	0.7411330225314395	0.25886697746856047	no
1		gridTrialProc	49	3	1	reliable	82	hard	O	0.4442270314090992	0.5557729685909008	no
1		gridTrialProc	49	3	1	reliable	83	easy	X	0.2407122350448349	0.759287764955165	no
1		gridTrialProc	49	3	1	reliable	84	hard	O	0.5292678293007731	0.47073217069922685	no
1		gridTrialProc	49	3	1	reliable	85	easy	X	0.7564070565894536	0.24359294341054638	no
1		gridTrialProc	49	3	1	reliable	86	hard	O	0.4171512585316831	0.5828487414683169	no
1		gridTrialProc	49	3	1	reliable	87	easy	X	0.35567307496976264	0.6443269250302374	no
1		gridTrialProc	49	3	1	reliable	88	hard	O	0.45248425527829594	0.5475157447217041	no
1		gridTrialProc	49	3	1	reliable	89	easy	X	0.6873046824619032	0.31269531753809676	no
1		gridTrialProc	49	3	1	reliable	90	hard	O	0.4885137703546616	0.5114862296453384	no
1		gridTrialProc	49	3	1	reliable	91	easy	X	0.29344840083420404	0.706551599165796	no
1		gridTrialProc	49	3	1	reliable	92	hard	O	0.5329697564505926	0.4670302435494073	no
1		gridTrialProc	49	3	1	reliable	93	hard	O	0.5434745126004257	0.45652548739957427	no
1		gridTrialProc	49	3	1	reliable	94	hard	O	0.5066851283622911	0.49331487163770893	no
1		gridTrialProc	49	3	1	reliable	95	easy	X	0.7993660574767507	0.20063394252324923	no
1		gridTrialProc	49	3	1	reliable	96	hard	O	0.5643583435373918	0.4356416564626082	no
1		gridTrialProc	49	3	1	reliable	97	easy	X	0.328173536272769	0.671826463727231	no
1		gridTrialProc	49	3	1	reliable	98	hard	O	0.515594590241049	0.484405409758951	no
1		gridTrialProc	49	3	1	reliable	99	hard	O	0.5491770975342887	0.4508229024657114	no
1		gridBlockEndProc	49	2	1	reliable	0			0	0	
1		gridBlockStartProc	49	1	2	unreliable	0			0	0	
1		gridTrialProc	49	3	2	unreliable	0	hard	O	0.4287676857863804	0.5712323142136195	no
1		gridTrialProc	49	3	2	unreliable	1	easy	X	0.7185152555279035	0.2814847444720965	no
1		gridTrialProc	49	3	2	unreliable	2	hard	O	0.4467374620986787	0.5532625379013213	no
1		gridTrialProc	49	3	2	unreliable	3	easy	X	0.26184112161910367	0.7381588783808963	no
1		gridTrialProc	49	3	2	unreliable	4	easy	X	0.2847696467358292	0.7152303532641708	no
1		gridTrialProc	49	3	2	unreliable	5	hard	O	0.44581839407555673	0.5541816059244433	no
1		gridTrialProc	49	3	2	unreliable	6	easy	X	0.3092667557662158	0.6907332442337841	no
1		gridTrialProc	49	3	2	unreliable	7	easy	X	0.25143010327845466	0.7485698967215453	yes
1		gridTrialProc	49	3	2	unreliable	8	hard	O	0.6121117285450702	0.38788827145492977	yes
1		gridTrialProc	49	3	2	unreliable	9	hard	O	0.5285037282949385	0.4714962717050615	no
1		gridTrialProc	49	3	2	unreliable	10	hard	O	0.5753392986096424	0.42466070139035766	yes
1		gridTrialProc	49	3	2	unreliable	11	easy	X	0.2770982069947648	0.7229017930052353	no
1		gridTrialProc	49	3	2	unreliable	12	hard	O	0.5493993379269789	0.4506006620730211	no
1		gridTrialProc	49	3	2	unreliable	13	easy	X	0.20310734610603043	0.7968926538939696	no
1		gridTrialProc	49	3	2	unreliable	14	easy	X	0.31038756736337225	0.6896124326366277	no
1		gridTrialProc	49	3	2	unreliable	15	hard	O	0.5702676321246053	0.4297323678753947	no
1		gridTrialProc	49	3	2	unreliable	16	easy	X	0.7544461521403434	0.24555384785965662	no
1		gridTrialProc	49	3	2	unreliable	17	easy	X	0.749447429419745	0.25055257058025504	no
1		gridTrialProc	49	3	2	unreliable	18	easy	X	0.17558397553528607	0.824416024464714	no
1		gridTrialProc	49	3	2	unreliable	19	easy	X	0.619176255169993	0.380823744830007	no
1		gridTrialProc	49	3	2	unreliable	20	hard	O	0.4743479820294525	0.5256520179705475	no
1		gridTrialProc	49	3	2	unreliable	21	hard	O	0.47897035609556693	0.5210296439044331	no
1		gridTrialProc	49	3	2	unreliable	22	hard	O	0.5075908783179212	0.49240912168207884	no
1		gridTrialProc	49	3	2	unreliable	23	hard	O	0.36602352795136794	0.6339764720486321	yes
1		gridTrialProc	49	3	2	unreliable	24	hard	O	0.6010549947561363	0.3989450052438636	no
1		gridTrialProc	49	3	2	unreliable	25	hard	O	0.45520323566281856	0.5447967643371814	no
1		gridTrialProc	49	3	2	unreliable	26	hard	O	0.457685353697446	0.542314646302554	yes
1		gridTrialProc	49	3	2	unreliable	27	hard	O	0.5945151081585858	0.4054848918414143	no
1		gridTrialProc	49	3	2	unreliable	28	easy	X	0.6531526876427209	0.34684731235727906	no
1		gridTrialProc	49	3	2	unreliable	29	easy	X	0.34692646405802474	0.6530735359419753	no
1		gridTrialProc	49	3	2	unreliable	30	easy	X	0.8052020533944618	0.19479794660553817	no
1		gridTrialProc	49	3	2	unreliable	31	hard	O	0.5893841940721136	0.4106158059278863	yes
1		gridTrialProc	49	3	2	unreliable	32	hard	O	0.43585175811855664	0.5641482418814434	yes
1		gridTrialProc	49	3	2	unreliable	33	easy	X	0.6833617118761037	0.3166382881238962	yes
1		gridTrialProc	49	3	2	unreliable	34	hard	O	0.4749667137733095	0.5250332862266904	no
1		gridTrialProc	49	3	2	unreliable	35	easy	X	0.29148372538551665	0.7085162746144833	no
1		gridTrialProc	49	3	2	unreliable	36	easy	X	0.788494929748887	0.21150507025111293	no
1		gridTrialProc	49	3	2	unreliable	37	easy	X	0.7289277892502004	0.27107221074979954	no
1		gridTrialProc	49	3	2	unreliable	38	easy	X	0.6926271879951829	0.30737281200481714	no
1		gridTrialProc	49	3	2	unreliable	39	hard	O	0.5125600258442382	0.48743997415576185	yes
1		gridTrialProc	49	3	2	unreliable	40	easy	X	0.30221379730856596	0.6977862026914341	no
1		gridTrialProc	49	3	2	unreliable	41	hard	O	0.4242250355867881	0.575774964413212	no
1		gridTrialProc	49	3	2	unreliable	42	easy	X	0.2737760971616197	0.7262239028383803	yes
1		gridTrialProc	49	3	2	unreliable	43	easy	X	0.7540489913984352	0.24595100860156477	no
1		gridTrialProc	49	3	2	unreliable	44	easy	X	0.2538491634775235	0.7461508365224765	yes
1		gridTrialProc	49	3	2	unreliable	45	hard	O	0.6128658433012832	0.3871341566987167	yes
1		gridTrialProc	49	3	2	unreliable	46	hard	O	0.5140322883005868	0.4859677116994132	no
1		gridTrialProc	49	3	2	unreliable	47	hard	O	0.4401882610308396	0.5598117389691604	yes
1		gridTrialProc	49	3	2	unreliable	48	hard	O	0.4730265078734127	0.5269734921265873	no
1		gridTrialProc	49	3	2	unreliable	49	hard	O	0.46394974847739134	0.5360502515226087	no
1		gridTrialProc	49	3	2	unreliable	50	easy	X	0.7394602779519218	0.2605397220480782	yes
