Weight	Nested	Procedure	subjectID	event_code	block_nr	block_reliability	trial_nr	trial_difficulty	trial_cue	color_1	color_2	flip_response
1		gridBlockReliableStartProc	7	1	1	reliable	0			0	0	
1		gridTrialProc	7	3	1	reliable	0	easy	0	0.6889261344080597	0.3110738655919402	no
1		gridTrialProc	7	3	1	reliable	1	hard	X	0.5544547541659479	0.44554524583405214	no
1		gridTrialProc	7	3	1	reliable	2	easy	0	0.3066371794149378	0.6933628205850622	no
1		gridTrialProc	7	3	1	reliable	3	easy	0	0.2896071173530672	0.7103928826469328	no
1		gridTrialProc	7	3	1	reliable	4	hard	X	0.5233452422345108	0.47665475776548916	no
1		gridTrialProc	7	3	1	reliable	5	easy	0	0.7162262287599668	0.2837737712400333	no
1		gridTrialProc	7	3	1	reliable	6	hard	X	0.5316604063610115	0.46833959363898847	no
1		gridTrialProc	7	3	1	reliable	7	hard	X	0.42372593972165634	0.5762740602783436	no
1		gridTrialProc	7	3	1	reliable	8	hard	X	0.5164677002275602	0.4835322997724399	no
1		gridTrialProc	7	3	1	reliable	9	easy	0	0.6907155754653684	0.3092844245346316	no
1		gridTrialProc	7	3	1	reliable	10	easy	0	0.29407314848531596	0.705926851514684	no
1		gridTrialProc	7	3	1	reliable	11	easy	0	0.7187320407029631	0.2812679592970368	no
1		gridTrialProc	7	3	1	reliable	12	easy	0	0.28132853438693173	0.7186714656130683	no
1		gridTrialProc	7	3	1	reliable	13	easy	0	0.2819679241495752	0.7180320758504248	no
1		gridTrialProc	7	3	1	reliable	14	hard	X	0.42533039048265286	0.5746696095173471	no
1		gridTrialProc	7	3	1	reliable	15	hard	X	0.5640006955302816	0.43599930446971835	no
1		gridTrialProc	7	3	1	reliable	16	hard	X	0.5403050637561027	0.45969493624389735	no
1		gridTrialProc	7	3	1	reliable	17	easy	0	0.7018530310200785	0.29814696897992155	no
1		gridTrialProc	7	3	1	reliable	18	hard	X	0.5548933821461673	0.44510661785383265	no
1		gridTrialProc	7	3	1	reliable	19	hard	X	0.44485000804956765	0.5551499919504324	no
1		gridTrialProc	7	3	1	reliable	20	hard	X	0.447350213284897	0.552649786715103	no
1		gridTrialProc	7	3	1	reliable	21	easy	0	0.7366969744620555	0.2633030255379445	no
1		gridTrialProc	7	3	1	reliable	22	hard	X	0.43447746650390695	0.565522533496093	no
1		gridTrialProc	7	3	1	reliable	23	easy	0	0.2637396944942354	0.7362603055057646	no
1		gridTrialProc	7	3	1	reliable	24	hard	X	0.5492132445629837	0.4507867554370163	no
1		gridTrialProc	7	3	1	reliable	25	easy	0	0.7136788949273206	0.2863211050726794	no
1		gridTrialProc	7	3	1	reliable	26	easy	0	0.29798241283905036	0.7020175871609496	no
1		gridTrialProc	7	3	1	reliable	27	hard	X	0.46279940201723	0.53720059798277	no
1		gridTrialProc	7	3	1	reliable	28	hard	X	0.43420842099411366	0.5657915790058863	no
1		gridTrialProc	7	3	1	reliable	29	hard	X	0.5562347909302778	0.44376520906972217	no
1		gridTrialProc	7	3	1	reliable	30	hard	X	0.48525260651158175	0.5147473934884182	no
1		gridTrialProc	7	3	1	reliable	31	easy	0	0.3197957490659313	0.6802042509340687	no
1		gridTrialProc	7	3	1	reliable	32	hard	X	0.42075565655512176	0.5792443434448782	no
1		gridTrialProc	7	3	1	reliable	33	easy	0	0.7157058614291242	0.2842941385708758	no
1		gridTrialProc	7	3	1	reliable	34	hard	X	0.4885231121313637	0.5114768878686363	no
1		gridTrialProc	7	3	1	reliable	35	easy	0	0.6970823087476732	0.30291769125232676	no
1		gridTrialProc	7	3	1	reliable	36	easy	0	0.2921027070918287	0.7078972929081713	no
1		gridTrialProc	7	3	1	reliable	37	easy	0	0.3047198839590883	0.6952801160409117	no
1		gridTrialProc	7	3	1	reliable	38	hard	X	0.5411034921674172	0.4588965078325829	no
1		gridTrialProc	7	3	1	reliable	39	easy	0	0.28731358123037803	0.712686418769622	no
1		gridTrialProc	7	3	1	reliable	40	easy	0	0.3106261384730523	0.6893738615269477	no
1		gridTrialProc	7	3	1	reliable	41	hard	X	0.43097683234801815	0.5690231676519819	no
1		gridTrialProc	7	3	1	reliable	42	hard	X	0.45538331063455656	0.5446166893654434	no
1		gridTrialProc	7	3	1	reliable	43	hard	X	0.43561432723539933	0.5643856727646006	no
1		gridTrialProc	7	3	1	reliable	44	easy	0	0.3188865861432675	0.6811134138567325	no
1		gridTrialProc	7	3	1	reliable	45	easy	0	0.7029354229985226	0.29706457700147737	no
1		gridTrialProc	7	3	1	reliable	46	easy	0	0.7203715647486439	0.279628435251356	no
1		gridTrialProc	7	3	1	reliable	47	easy	0	0.3112863068722993	0.6887136931277007	no
1		gridTrialProc	7	3	1	reliable	48	hard	X	0.5305082311393324	0.46949176886066757	no
1		gridTrialProc	7	3	1	reliable	49	hard	X	0.4623664686358287	0.5376335313641714	no
1		gridTrialProc	7	3	1	reliable	50	easy	0	0.2662505768343565	0.7337494231656435	no
1		gridTrialProc	7	3	1	reliable	51	easy	0	0.7019047569666785	0.2980952430333214	no
1		gridTrialProc	7	3	1	reliable	52	easy	0	0.7493390216098073	0.2506609783901928	no
1		gridTrialProc	7	3	1	reliable	53	hard	X	0.48062047112785256	0.5193795288721474	no
1		gridTrialProc	7	3	1	reliable	54	hard	X	0.5693586888307494	0.4306413111692506	no
1		gridTrialProc	7	3	1	reliable	55	hard	X	0.5777164024103307	0.4222835975896692	no
1		gridTrialProc	7	3	1	reliable	56	hard	X	0.5512493612486831	0.4487506387513169	no
1		gridTrialProc	7	3	1	reliable	57	hard	X	0.425704919676066	0.574295080323934	no
1		gridTrialProc	7	3	1	reliable	58	easy	0	0.27886459859217344	0.7211354014078266	no
1		gridTrialProc	7	3	1	reliable	59	easy	0	0.31184536583391925	0.6881546341660807	no
1		gridTrialProc	7	3	1	reliable	60	hard	X	0.44360529937964127	0.5563947006203587	no
1		gridTrialProc	7	3	1	reliable	61	easy	0	0.29612784287788574	0.7038721571221143	no
1		gridTrialProc	7	3	1	reliable	62	easy	0	0.2974428599166665	0.7025571400833335	no
1		gridTrialProc	7	3	1	reliable	63	easy	0	0.30507834368325365	0.6949216563167464	no
1		gridTrialProc	7	3	1	reliable	64	hard	X	0.4771434592996097	0.5228565407003902	no
1		gridTrialProc	7	3	1	reliable	65	hard	X	0.5709182060881961	0.42908179391180395	no
1		gridTrialProc	7	3	1	reliable	66	hard	X	0.44804607627049786	0.5519539237295021	no
1		gridTrialProc	7	3	1	reliable	67	easy	0	0.7157258647824218	0.2842741352175781	no
1		gridTrialProc	7	3	1	reliable	68	hard	X	0.44837060088235453	0.5516293991176455	no
1		gridTrialProc	7	3	1	reliable	69	easy	0	0.2864332964717549	0.7135667035282451	no
1		gridTrialProc	7	3	1	reliable	70	easy	0	0.2919206404143408	0.7080793595856592	no
1		gridTrialProc	7	3	1	reliable	71	hard	X	0.5636107677568862	0.43638923224311377	no
1		gridTrialProc	7	3	1	reliable	72	easy	0	0.2632360892453725	0.7367639107546275	no
1		gridTrialProc	7	3	1	reliable	73	easy	0	0.29887968002940857	0.7011203199705914	no
1		gridTrialProc	7	3	1	reliable	74	hard	X	0.554143158200882	0.44585684179911805	no
1		gridTrialProc	7	3	1	reliable	75	hard	X	0.434798284345044	0.565201715654956	no
1		gridTrialProc	7	3	1	reliable	76	easy	0	0.6925217782145445	0.3074782217854554	no
1		gridTrialProc	7	3	1	reliable	77	hard	X	0.5740472701600875	0.4259527298399125	no
1		gridTrialProc	7	3	1	reliable	78	easy	0	0.3028648608104794	0.6971351391895206	no
1		gridTrialProc	7	3	1	reliable	79	hard	X	0.4428333596458418	0.5571666403541582	no
1		gridBlockEndProc	7	2	1	reliable	0			0	0	
1		gridBlockUnreliableStartProc	7	1	2	unreliable	0			0	0	
1		gridTrialProc	7	3	2	unreliable	0	easy	0	0.6867262808884341	0.3132737191115659	yes
1		gridTrialProc	7	3	2	unreliable	1	easy	0	0.6879005375497127	0.3120994624502873	yes
1		gridTrialProc	7	3	2	unreliable	2	hard	X	0.46150001372991817	0.5384999862700819	no
1		gridTrialProc	7	3	2	unreliable	3	hard	X	0.5791969556759405	0.42080304432405946	no
1		gridTrialProc	7	3	2	unreliable	4	hard	X	0.4370649351724163	0.5629350648275837	no
1		gridTrialProc	7	3	2	unreliable	5	hard	X	0.48678208838626674	0.5132179116137332	no
1		gridTrialProc	7	3	2	unreliable	6	hard	X	0.4758455046422476	0.5241544953577524	no
1		gridTrialProc	7	3	2	unreliable	7	easy	0	0.2932184797841615	0.7067815202158385	no
1		gridTrialProc	7	3	2	unreliable	8	hard	X	0.450742335707019	0.549257664292981	no
1		gridTrialProc	7	3	2	unreliable	9	hard	X	0.5139506501196323	0.48604934988036774	no
1		gridTrialProc	7	3	2	unreliable	10	hard	X	0.5594378322100032	0.4405621677899968	yes
1		gridTrialProc	7	3	2	unreliable	11	easy	0	0.26421016501657124	0.7357898349834288	no
1		gridTrialProc	7	3	2	unreliable	12	easy	0	0.7452309478873241	0.25476905211267586	no
1		gridTrialProc	7	3	2	unreliable	13	easy	0	0.31454095121634007	0.6854590487836599	no
1		gridTrialProc	7	3	2	unreliable	14	hard	X	0.5598313924164089	0.4401686075835911	yes
1		gridTrialProc	7	3	2	unreliable	15	hard	X	0.4380568070625804	0.5619431929374197	yes
1		gridTrialProc	7	3	2	unreliable	16	easy	0	0.6900459175646596	0.30995408243534034	no
1		gridTrialProc	7	3	2	unreliable	17	hard	X	0.4862261287809566	0.5137738712190434	no
1		gridTrialProc	7	3	2	unreliable	18	easy	0	0.7172458005783084	0.2827541994216915	yes
1		gridTrialProc	7	3	2	unreliable	19	easy	0	0.311422700537961	0.6885772994620389	no
1		gridTrialProc	7	3	2	unreliable	20	hard	X	0.4724562156980725	0.5275437843019275	yes
1		gridTrialProc	7	3	2	unreliable	21	hard	X	0.5478961457242254	0.4521038542757746	no
1		gridTrialProc	7	3	2	unreliable	22	easy	0	0.28114122480984155	0.7188587751901585	yes
1		gridTrialProc	7	3	2	unreliable	23	hard	X	0.4450053599891657	0.5549946400108343	no
1		gridTrialProc	7	3	2	unreliable	24	easy	0	0.3069863348413102	0.6930136651586898	yes
1		gridTrialProc	7	3	2	unreliable	25	easy	0	0.2687348354092734	0.7312651645907267	no
1		gridTrialProc	7	3	2	unreliable	26	easy	0	0.25183274787091703	0.748167252129083	yes
1		gridTrialProc	7	3	2	unreliable	27	easy	0	0.721837284766468	0.2781627152335319	no
1		gridTrialProc	7	3	2	unreliable	28	easy	0	0.3152641944649721	0.6847358055350279	no
1		gridTrialProc	7	3	2	unreliable	29	easy	0	0.2899111034396945	0.7100888965603055	no
1		gridTrialProc	7	3	2	unreliable	30	hard	X	0.46170267542574345	0.5382973245742566	yes
1		gridTrialProc	7	3	2	unreliable	31	easy	0	0.2878408963190896	0.7121591036809104	no
1		gridTrialProc	7	3	2	unreliable	32	hard	X	0.5715199828392579	0.42848001716074213	no
1		gridTrialProc	7	3	2	unreliable	33	hard	X	0.43274114572002403	0.5672588542799759	no
1		gridTrialProc	7	3	2	unreliable	34	easy	0	0.7269067317314388	0.2730932682685612	no
1		gridTrialProc	7	3	2	unreliable	35	hard	X	0.4238482922578167	0.5761517077421834	yes
1		gridTrialProc	7	3	2	unreliable	36	hard	X	0.4319266558467972	0.5680733441532029	no
1		gridTrialProc	7	3	2	unreliable	37	hard	X	0.5598730684520479	0.44012693154795207	yes
1		gridTrialProc	7	3	2	unreliable	38	easy	0	0.7126871207040313	0.28731287929596877	no
1		gridTrialProc	7	3	2	unreliable	39	easy	0	0.26342369036068775	0.7365763096393123	no
1		gridTrialProc	7	3	2	unreliable	40	hard	X	0.5586397964535568	0.4413602035464433	no
1		gridTrialProc	7	3	2	unreliable	41	hard	X	0.5229058032323417	0.4770941967676583	yes
1		gridTrialProc	7	3	2	unreliable	42	easy	0	0.7487139751465369	0.2512860248534631	yes
