effect_type,effect_ms,power,n_significant,n_successful,n_nonconverged,n_failed
sustained,0.0,0.04408817635270541,22,499,1,0
sustained,1.0,0.052313883299798795,26,497,3,0
sustained,2.0,0.124,62,500,0,0
sustained,3.0,0.1843687374749499,92,499,1,0
sustained,4.0,0.344,172,500,0,0
sustained,5.0,0.438,219,500,0,0
sustained,6.0,0.6232464929859719,311,499,1,0
sustained,7.0,0.688,344,500,0,0
sustained,8.0,0.83,415,500,0,0
sustained,9.0,0.918,459,500,0,0
sustained,10.0,0.9278557114228457,463,499,1,0
sustained,11.0,0.976,488,500,0,0
sustained,12.0,0.99,495,500,0,0
sustained,13.0,0.9959919839679359,497,499,1,0
sustained,14.0,1.0,499,499,1,0
sustained,15.0,0.9979959919839679,498,499,1,0
sustained,16.0,1.0,500,500,0,0
sustained,17.0,1.0,500,500,0,0
sustained,18.0,1.0,500,500,0,0
sustained,19.0,1.0,500,500,0,0
sustained,20.0,1.0,500,500,0,0
sustained,21.0,1.0,500,500,0,0
sustained,22.0,1.0,500,500,0,0
sustained,23.0,1.0,500,500,0,0
sustained,24.0,1.0,500,500,0,0
sustained,25.0,1.0,500,500,0,0
transient,0.0,0.058,29,500,0,0
transient,1.0,0.05,25,500,0,0
transient,2.0,0.062,31,500,0,0
transient,3.0,0.118,59,500,0,0
transient,4.0,0.18,90,500,0,0
transient,5.0,0.21,105,500,0,0
transient,6.0,0.278,139,500,0,0
transient,7.0,0.38877755511022044,194,499,1,0
transient,8.0,0.528,264,500,0,0
transient,9.0,0.6292585170340681,314,499,1,0
transient,10.0,0.714,357,500,0,0
transient,11.0,0.772,386,500,0,0
transient,12.0,0.824,412,500,0,0
transient,13.0,0.902,451,500,0,0
transient,14.0,0.932,466,500,0,0
transient,15.0,0.976,488,500,0,0
transient,16.0,0.99,495,500,0,0
transient,17.0,0.99,495,500,0,0
transient,18.0,0.996,498,500,0,0
transient,19.0,0.992,496,500,0,0
transient,20.0,1.0,500,500,0,0
transient,21.0,0.998,499,500,0,0
transient,22.0,1.0,499,499,1,0
transient,23.0,1.0,500,500,0,0
transient,24.0,1.0,500,500,0,0
transient,25.0,1.0,500,500,0,0
